Country,Celiac_Prevalence,GDP_per_capita_2016
"Yemen, Rep.",0.0556,975.3594170032254
Zambia,0.0556,1239.0852787771328
Tunisia,0.0556,3847.8035444880866
Kuwait,0.0556,27323.689073551704
Romania,0.039,9404.540058707149
Bulgaria,0.0265,7822.499232929683
Finland,0.02,43451.25624421576
Syrian Arab Republic,0.015,656.3490586313004
Mexico,0.0149,9097.923976747688
Colombia,0.0149,5959.842503675744
Argentina,0.0149,12699.962313775635
Chile,0.0149,13649.85204528032
Algeria,0.0143,4424.985290275557
Australia,0.0122,50084.44406063846
Turkiye,0.0115,10984.36431690613
India,0.0104,1707.5089291224338
United States,0.01,57638.10183671918
"Iran, Islamic Rep.",0.01,5710.599470891042
United Kingdom,0.01,41257.908554555615
Italy,0.0094,31391.569289810846
Germany,0.009,42948.938193269365
Canada,0.009,42314.06158172182
Spain,0.0085,26755.606114939812
Libya,0.008,7525.8029930821585
Switzerland,0.0076,82153.07454478886
Portugal,0.0075,19980.280886651573
Saudi Arabia,0.0064,22267.721705038737
Israel,0.0064,37671.538913879755
Hungary,0.006,13215.860527778877
Sweden,0.0053,51703.508833285116
Netherlands,0.0051,46808.52914925029
"Egypt, Arab Rep.",0.005,3270.628776819699
Latvia,0.0049,13838.526682327232
Czechia,0.0046,18753.96867180957
France,0.004,37024.21571336689
Norway,0.0038,70867.36099707492
Estonia,0.0034,18666.3736521706
Ireland,0.0033,64129.55715423832
Poland,0.0025,12464.011050847552
Croatia,0.0019,12820.165389300826
Greece,0.0018,17919.24263770477
Brazil,0.0017,8836.285460256942
Denmark,0.0001,54500.92604102175
Japan,0.0001,39375.47316207813
